FundName,Date,Excess,OutPerformace,Return,Rank
Pengana Global Small Companies Fund,30/11/2016,4.00,Out Performed,3.874323,1
Vanguard Australian Shares Index ETF,30/11/2016,2.87,Out Performed,2.743350,2
Vanguard All-World Ex-US Shares Index ETF,30/11/2016,0.87,,0.745006,3
Vanguard Wholesale Australian Fixed Interest Index,30/11/2016,-0.01,,-1.470982,4
Vanguard Wholesale Emerging Markets Shares Index,30/11/2016,-1.74,Under Performed,-1.863012,5
Goldman Sachs Emerging Leaders Fund,30/11/2016,-3.88,Under Performed,-4.011699,6
Vanguard Wholesale Emerging Markets Shares Index,31/10/2016,5.37,Out Performed,0.739737,1
Vanguard All-World Ex-US Shares Index ETF,31/10/2016,3.57,Out Performed,-1.065226,2
Pengana Global Small Companies Fund,31/10/2016,3.45,Out Performed,-1.180837,3
Vanguard Wholesale Australian Fixed Interest Index,31/10/2016,-0.02,,-1.317753,4
Vanguard Australian Shares Index ETF,31/10/2016,2.39,Out Performed,-2.238636,5
Goldman Sachs Emerging Leaders Fund,31/10/2016,-4.22,Under Performed,-8.853909,6
Pengana Global Small Companies Fund,30/09/2016,0.52,,0.626896,1
Vanguard Australian Shares Index ETF,30/09/2016,0.39,,0.502421,2
Goldman Sachs Emerging Leaders Fund,30/09/2016,-0.25,,-0.134768,3
Vanguard Wholesale Australian Fixed Interest Index,30/09/2016,-0.01,,-0.232219,4
Vanguard All-World Ex-US Shares Index ETF,30/09/2016,-0.57,,-0.457860,5
Vanguard Wholesale Emerging Markets Shares Index,30/09/2016,-0.65,,-0.542877,6
Vanguard Wholesale Emerging Markets Shares Index,31/08/2016,4.27,Out Performed,3.537669,1
Pengana Global Small Companies Fund,31/08/2016,3.94,Out Performed,3.202958,2
Vanguard All-World Ex-US Shares Index ETF,31/08/2016,2.64,Out Performed,1.909714,3
Vanguard Wholesale Australian Fixed Interest Index,31/08/2016,0.00,,0.420468,4
Vanguard Australian Shares Index ETF,31/08/2016,-0.86,,-1.592659,5
Goldman Sachs Emerging Leaders Fund,31/08/2016,-1.58,Under Performed,-2.310386,6
Goldman Sachs Emerging Leaders Fund,31/07/2016,0.30,,8.067665,1
Vanguard Australian Shares Index ETF,31/07/2016,-1.78,Under Performed,5.983991,2
Vanguard Wholesale Emerging Markets Shares Index,31/07/2016,-5.01,Under Performed,2.754190,3
Pengana Global Small Companies Fund,31/07/2016,-5.05,Under Performed,2.717398,4
Vanguard All-World Ex-US Shares Index ETF,31/07/2016,-5.61,Under Performed,2.157211,5
Vanguard Wholesale Australian Fixed Interest Index,31/07/2016,-0.02,,0.707636,6
Vanguard Wholesale Australian Fixed Interest Index,30/06/2016,-0.02,,1.286316,1
Vanguard Wholesale Emerging Markets Shares Index,30/06/2016,3.03,Out Performed,1.217254,2
Vanguard Australian Shares Index ETF,30/06/2016,-0.73,,-2.544124,3
Vanguard All-World Ex-US Shares Index ETF,30/06/2016,-1.77,Under Performed,-3.575407,4
Goldman Sachs Emerging Leaders Fund,30/06/2016,-2.42,Under Performed,-4.229084,5
Pengana Global Small Companies Fund,30/06/2016,-2.97,Under Performed,-4.782506,6
